"id","name","short_name","country","state"
1,Alabama College of Osteopathic Medicine,,United States of America,AL
2,Arkansas College of Osteopathic Medicine,,United States of America,AR
3,New York Institute of Technology College of Osteopathic Medicine at Arkansas State University,,United States of America,AR
4,Midwestern University Arizona College of Osteopathic Medicine,AZCOM,United States of America,AZ
5,A.T. Still University School of Osteopathic Medicine in Arizona,,United States of America,AZ
6,California Health Sciences University,,United States of America,CA
7,Touro University California College of Osteopathic Medicine,,United States of America,CA
8,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,,United States of America,CA
9,Rocky Vista University College of Osteopathic Medicine,,United States of America,CO
10,Lake Erie College of Osteopathic Medicine,,United States of America,FL
11,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,,United States of America,FL
12,Philadelphia College of Osteopathic Medicine – Georgia Campus,PCOM - Georgia Campus,United States of America,GA
13,Des Moines University College of Osteopathic Medicine,,United States of America,IA
14,Idaho College of Osteopathic Medicine,ICOM,United States of America,ID
15,Midwestern University Chicago College of Osteopathic Medicine,,United States of America,IL
16,Marian University College of Osteopathic Medicine,,United States of America,IN
17,University of Pikeville Kentucky College of Osteopathic Medicine,,United States of America,KY
18,Edward Via College of Osteopathic Medicine - Louisiana Campus,,United States of America,LA
19,University of New England College of Osteopathic Medicine,,United States of America,ME
20,Michigan State University College of Osteopathic Medicine,,United States of America,MI
21,A. T. Still University Kirksville College of Osteopathic Medicine,,United States of America,MO
22,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,,United States of America,MO
23,William Carey University College of Osteopathic Medicine,,United States of America,MS
24,Campbell University School of Osteopathic Medicine,,United States of America,NC
25,Rowan University School of Osteopathic Medicine,,United States of America,NJ
26,Burrell College of Osteopathic Medicine at New Mexico State University,,United States of America,NM
27,Touro University Nevada College of Osteopathic Medicine,,United States of America,NV
28,Lake Erie College of Osteopathic Medicine,,United States of America,NY
29,New York Institute of Technology College of Osteopathic Medicine,,United States of America,NY
30,Touro College of Osteopathic Medicine,,United States of America,NY
31,Ohio University Heritage College of Osteopathic Medicine,,United States of America,OH
32,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,,United States of America,Ok
33,"College of Osteopathic Medicine of the Pacific, Northwest",,United States of America,OR
34,Philadelphia College of Osteopathic Medicine,PCOM,United States of America,PA
35,Lake Erie College of Osteopathic Medicine,,United States of America,PA
36,Edward Via College of Osteopathic Medicine – Carolinas Campus,VCOM,United States of America,SC
37,Lincoln Memorial University DeBusk College of Osteopathic Medicine,,United States of America,TN
38,Sam Houston State University College of Osteopathic Medicine,,United States of America,TX
39,University of North Texas Health Science Center Texas College of Osteopathic Medicine,,United States of America,TX
40,University of the Incarnate Word School of Osteopathic Medicine,,United States of America,TX
41,Noorda College of Osteopathic Medicine,,United States of America,UT
42,Rocky Vista University College of Osteopathic Medicine – Southern Utah Campus,,United States of America,UT
43,Edward Via College of Osteopathic Medicine,,United States of America,VA
44,Liberty University College of Osteopathic Medicine (LUCOM),,United States of America,VA
45,Pacific Northwest University of Health Sciences,,United States of America,WA
46,West Virginia School of Osteopathic Medicine,,United States of America,WV
47,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,,United States of America,AL
48,University of South Alabama College of Medicine,,United States of America,AL
49,University of Alberta Faculty of Medicine and Dentistry,,Canada,Alberta
50,University of Calgary Cumming School of Medicine,,Canada,Alberta
51,University of Arkansas for Medical Sciences College of Medicine,,United States of America,AR
52,Mayo Clinic Alix School of Medicine,,United States of America,AZ
53,University of Arizona College of Medicine,,United States of America,AZ
54,University of Arizona College of Medicine - Phoenix,,United States of America,AZ
55,University of British Columbia Faculty of Medicine,,Canada,British Columbia
56,California Northstate University College of Medicine,,United States of America,CA
57,California University of Science and Medicine-School of Medicine,,United States of America,CA
58,Kaiser Permanente Bernard J. Tyson School of Medicine,,United States of America,CA
59,Keck School of Medicine of the University of Southern California,,United States of America,CA
60,Loma Linda University School of Medicine,,United States of America,CA
61,Stanford University School of Medicine,,United States of America,CA
62,UCLA/Drew Medical Education Program,,United States of America,CA
63,"University of California, Davis, School of Medicine",,United States of America,CA
64,"University of California, Irvine, School of Medicine",,United States of America,CA
65,"University of California, Los Angeles David Geffen School of Medicine",,United States of America,CA
66,"University of California, Riverside School of Medicine",,United States of America,CA
67,"University of California, San Diego School of Medicine",,United States of America,CA
68,"University of California, San Francisco, School of Medicine",,United States of America,CA
69,University of Colorado School of Medicine,,United States of America,CO
70,Frank H. Netter M.D. School of Medicine at Quinnipiac University,,United States of America,CT
71,University of Connecticut School of Medicine,,United States of America,CT
72,Yale School of Medicine,,United States of America,CT
73,George Washington University School of Medicine and Health Sciences,,United States of America,DC
74,Georgetown University School of Medicine,,United States of America,DC
75,Howard University College of Medicine,,United States of America,DC
76,Charles E. Schmidt College of Medicine at Florida Atlantic University,,United States of America,FL
77,Florida International University Herbert Wertheim College of Medicine,,United States of America,FL
78,Florida State University College of Medicine,,United States of America,FL
79,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,,United States of America,FL
80,University of Central Florida College of Medicine,,United States of America,FL
81,University of Florida College of Medicine,,United States of America,FL
82,University of Miami Leonard M. Miller School of Medicine,,United States of America,FL
